Type,strike,vol_id,call_put_id,optiontype,barriertype,direction,knockin,knockout,bullet,shorted,hedgeorOTC,lots
Option,0.3500,BO  N7.N7,call,euro,,,,,TRUE,FALSE,OTC,15
Option,0.3500,BO  N7.N7,put,euro,,,,,TRUE,FALSE,OTC,15
Option,0.3450,BO  K7.K7,call,euro,,,,,TRUE,FALSE,OTC,300
Option,0.3450,BO  K7.K7,put,euro,,,,,TRUE,FALSE,OTC,100
Option,0.3600,BO  K7.K7,call,euro,,,,,TRUE,FALSE,OTC,800
Option,0.3600,BO  K7.K7,put,euro,,,,,TRUE,FALSE,OTC,300
Option,0.3400,BO  K7.K7,put,euro,,,,,TRUE,FALSE,OTC,150
Option,0.3450,BO  K7.K7,call,euro,,,,,TRUE,TRUE,OTC,300
Option,0.3600,BO  K7.K7,call,euro,,,,,TRUE,TRUE,OTC,1100
