pdt,value_date,underlying_id,order,settle_value,returns,expdate
C,2017-02-20,C  N7,2,382.5,0.0032626456348163694,2017-06-23
C,2017-02-21,C  N7,2,383.75,0.004549894101977361,2017-06-23
C,2017-02-22,C  N7,2,385.5,-0.01502805152750189,2017-06-23
C,2017-02-23,C  N7,2,379.75,-0.00395778880741692,2017-06-23
C,2017-01-01,C  U7,3,371.25,0.0,2017-08-25
C,2017-01-02,C  U7,3,371.25,0.010050335853501506,2017-08-25
C,2017-01-03,C  U7,3,375.0,0.010610179112015469,2017-08-25
C,2017-01-04,C  U7,3,379.0,0.004606786692844826,2017-08-25
C,2017-01-05,C  U7,3,380.75,-0.007910390622422207,2017-08-25
C,2017-01-08,C  U7,3,377.75,0.006596329986553309,2017-08-25
C,2017-01-09,C  U7,3,380.25,-0.0032927260569758678,2017-08-25
C,2017-01-10,C  U7,3,379.0,-0.0026420094628386965,2017-08-25
C,2017-01-11,C  U7,3,378.0,0.0019821612039912025,2017-08-25
C,2017-01-12,C  U7,3,378.75,0.0019782400121057205,2017-08-25
C,2017-01-15,C  U7,3,379.5,0.0,2017-08-25
C,2017-01-16,C  U7,3,379.5,0.0176302313762705,2017-08-25
C,2017-01-17,C  U7,3,386.25,-0.0019436352085710144,2017-08-25
C,2017-01-18,C  U7,3,385.5,0.0025906750240924626,2017-08-25
C,2017-01-19,C  U7,3,386.5,0.007089942686631153,2017-08-25
C,2017-01-22,C  U7,3,389.25,0.0006420545966953233,2017-08-25
C,2017-01-23,C  U7,3,389.5,-0.014221312723076057,2017-08-25
C,2017-01-24,C  U7,3,384.0,0.007782140442054949,2017-08-25
C,2017-01-25,C  U7,3,387.0,-0.007131310611076614,2017-08-25
C,2017-01-26,C  U7,3,384.25,-0.0032583932380592863,2017-08-25
C,2017-01-29,C  U7,3,383.0,-0.011158632357067063,2017-08-25
C,2017-01-30,C  U7,3,378.75,0.004609820478161707,2017-08-25
C,2017-01-31,C  U7,3,380.5,0.02273563341236718,2017-08-25
C,2017-02-01,C  U7,3,389.25,-0.0025723486853112465,2017-08-25
C,2017-02-02,C  U7,3,388.25,-0.005812092563965579,2017-08-25
C,2017-02-05,C  U7,3,386.0,-0.0025940351770466466,2017-08-25
C,2017-02-06,C  U7,3,385.0,0.012262173650101654,2017-08-25
C,2017-02-07,C  U7,3,389.75,0.004480007492971886,2017-08-25
C,2017-02-08,C  U7,3,391.5,-0.004480007492971892,2017-08-25
C,2017-02-09,C  U7,3,389.75,0.010845401360047838,2017-08-25
C,2017-02-12,C  U7,3,394.0,0.0006343165452139643,2017-08-25
C,2017-02-13,C  U7,3,394.25,-0.001269035703304933,2017-08-25
C,2017-02-14,C  U7,3,393.75,0.0088496152769826,2017-08-25
C,2017-02-15,C  U7,3,397.25,-0.010120263478438155,2017-08-25
C,2017-02-16,C  U7,3,393.25,-0.012796079909590738,2017-08-25
C,2017-02-19,C  U7,3,388.25,0.0,2017-08-25
C,2017-02-20,C  U7,3,388.25,0.0032144032820065594,2017-08-25
C,2017-02-21,C  U7,3,389.5,0.004482876543560011,2017-08-25
C,2017-02-22,C  U7,3,391.25,-0.014157250611092803,2017-08-25
C,2017-02-23,C  U7,3,385.75,-0.0032457022975715963,2017-08-25
C,2017-01-01,C  Z7,4,380.0,0.0,2017-11-24
