underlying_id,valuedate,settle_value,ticker
BO  K7,13-May-15,34.27,BOK7 Comdty
BO  V6,13-May-15,33.97,BOV6 Comdty
BO  Q6,13-May-15,34.03,BOQ6 Comdty
BO  K6,14-May-15,33.93,BOK6 Comdty
BO  N6,14-May-15,34.08,BON6 Comdty
BO  Z5,14-May-15,33.57,BOZ5 Comdty
BO  V7,14-May-15,34.52,BOV7 Comdty
BO  N8,14-May-15,34.66,BON8 Comdty
BO  U7,14-May-15,34.52,BOU7 Comdty
BO  K7,14-May-15,34.34,BOK7 Comdty
BO  H6,14-May-15,33.81,BOH6 Comdty
BO  Q6,14-May-15,34.11,BOQ6 Comdty
BO  F6,14-May-15,33.67,BOF16 Comdty
BO  V5,14-May-15,33.41,BOV15 Comdty
BO  H7,14-May-15,34.34,BOH7 Comdty
BO  Q5,14-May-15,33.37,BOQ15 Comdty
BO  V6,14-May-15,34.05,BOV6 Comdty
BO  U5,14-May-15,33.4,BOU15 Comdty
BO  Z7,14-May-15,34.66,BOZ7 Comdty
BO  N5,14-May-15,33.34,BON15 Comdty
BO  V8,14-May-15,34.66,BOV8 Comdty
BO  Z6,14-May-15,34.08,BOZ6 Comdty
BO  F7,14-May-15,34.21,BOF7 Comdty
BO  Q7,14-May-15,34.51,BOQ7 Comdty
BO  K5,14-May-15,33,BOK15 Comdty
BO  U6,14-May-15,34.12,BOU6 Comdty
BO  Z8,14-May-15,34.66,BOZ8 Comdty
BO  N7,14-May-15,34.5,BON7 Comdty
BO  Z5,15-May-15,33.32,BOZ5 Comdty
BO  N6,15-May-15,33.79,BON6 Comdty
BO  K7,15-May-15,34.09,BOK7 Comdty
BO  K6,15-May-15,33.66,BOK6 Comdty
BO  Q6,15-May-15,33.83,BOQ6 Comdty
BO  U7,15-May-15,34.27,BOU7 Comdty
BO  V5,15-May-15,33.17,BOV15 Comdty
BO  U6,15-May-15,33.84,BOU6 Comdty
BO  Q5,15-May-15,33.12,BOQ15 Comdty
BO  V8,15-May-15,34.4,BOV8 Comdty
BO  F6,15-May-15,33.42,BOF16 Comdty
BO  U5,15-May-15,33.16,BOU15 Comdty
BO  F7,15-May-15,33.96,BOF7 Comdty
BO  H6,15-May-15,33.56,BOH6 Comdty
BO  Z8,15-May-15,34.4,BOZ8 Comdty
BO  N5,15-May-15,33.07,BON15 Comdty
BO  H7,15-May-15,34.09,BOH7 Comdty
BO  N7,15-May-15,34.25,BON7 Comdty
BO  Q7,15-May-15,34.26,BOQ7 Comdty
BO  Z6,15-May-15,33.82,BOZ6 Comdty
BO  Z7,15-May-15,34.4,BOZ7 Comdty
BO  V6,15-May-15,33.77,BOV6 Comdty
BO  N8,15-May-15,34.4,BON8 Comdty
BO  V7,15-May-15,34.27,BOV7 Comdty
BO  Q6,18-May-15,33.47,BOQ6 Comdty
BO  U7,18-May-15,33.87,BOU7 Comdty
BO  N6,18-May-15,33.43,BON6 Comdty
BO  H6,18-May-15,33.22,BOH6 Comdty
BO  Z5,18-May-15,32.99,BOZ5 Comdty
BO  N5,18-May-15,32.78,BON15 Comdty
BO  K6,18-May-15,33.29,BOK6 Comdty
BO  Q5,18-May-15,32.81,BOQ15 Comdty
BO  K7,18-May-15,33.69,BOK7 Comdty
BO  V5,18-May-15,32.83,BOV15 Comdty
BO  F6,18-May-15,33.09,BOF16 Comdty
BO  U5,18-May-15,32.84,BOU15 Comdty
BO  U6,18-May-15,33.48,BOU6 Comdty
BO  Z8,18-May-15,34.01,BOZ8 Comdty
BO  V8,18-May-15,34.01,BOV8 Comdty
BO  H7,18-May-15,33.69,BOH7 Comdty
BO  Q7,18-May-15,33.86,BOQ7 Comdty
BO  F7,18-May-15,33.56,BOF7 Comdty
BO  Z7,18-May-15,34.01,BOZ7 Comdty
BO  N7,18-May-15,33.85,BON7 Comdty
BO  N8,18-May-15,34.01,BON8 Comdty
BO  Z6,18-May-15,33.42,BOZ6 Comdty
BO  V7,18-May-15,33.87,BOV7 Comdty
BO  V6,18-May-15,33.39,BOV6 Comdty
BO  Z5,19-May-15,32.35,BOZ5 Comdty
BO  K6,19-May-15,32.75,BOK6 Comdty
BO  N6,19-May-15,32.9,BON6 Comdty
BO  Q6,19-May-15,32.94,BOQ6 Comdty
BO  U7,19-May-15,33.4,BOU7 Comdty
BO  U5,19-May-15,32.23,BOU15 Comdty
BO  N8,19-May-15,33.53,BON8 Comdty
BO  F6,19-May-15,32.47,BOF16 Comdty
BO  N5,19-May-15,32.18,BON15 Comdty
BO  H6,19-May-15,32.62,BOH6 Comdty
BO  V6,19-May-15,32.91,BOV6 Comdty
BO  U6,19-May-15,32.95,BOU6 Comdty
BO  Z6,19-May-15,32.95,BOZ6 Comdty
BO  V5,19-May-15,32.21,BOV15 Comdty
BO  V8,19-May-15,33.53,BOV8 Comdty
BO  Q5,19-May-15,32.21,BOQ15 Comdty
BO  F7,19-May-15,33.09,BOF7 Comdty
BO  Z8,19-May-15,33.53,BOZ8 Comdty
BO  N7,19-May-15,33.38,BON7 Comdty
BO  V7,19-May-15,33.4,BOV7 Comdty
BO  Z7,19-May-15,33.53,BOZ7 Comdty
BO  H7,19-May-15,33.22,BOH7 Comdty
BO  Q7,19-May-15,33.39,BOQ7 Comdty
BO  K7,19-May-15,33.22,BOK7 Comdty
BO  Q6,20-May-15,33.03,BOQ6 Comdty
BO  K6,20-May-15,32.84,BOK6 Comdty
BO  Z5,20-May-15,32.43,BOZ5 Comdty
BO  N6,20-May-15,32.99,BON6 Comdty
BO  F6,20-May-15,32.55,BOF16 Comdty
BO  K7,20-May-15,33.29,BOK7 Comdty
BO  V5,20-May-15,32.26,BOV15 Comdty
BO  U7,20-May-15,33.47,BOU7 Comdty
BO  H6,20-May-15,32.71,BOH6 Comdty
BO  Q5,20-May-15,32.23,BOQ15 Comdty
BO  U5,20-May-15,32.26,BOU15 Comdty
BO  N5,20-May-15,32.2,BON15 Comdty
BO  U6,20-May-15,33.04,BOU6 Comdty
BO  F7,20-May-15,33.16,BOF7 Comdty
BO  V8,20-May-15,33.6,BOV8 Comdty
BO  Z8,20-May-15,33.6,BOZ8 Comdty
BO  Z6,20-May-15,33.03,BOZ6 Comdty
BO  N7,20-May-15,33.45,BON7 Comdty
BO  V6,20-May-15,32.99,BOV6 Comdty
BO  H7,20-May-15,33.29,BOH7 Comdty
BO  Q7,20-May-15,33.46,BOQ7 Comdty
BO  Z7,20-May-15,33.6,BOZ7 Comdty
BO  N8,20-May-15,33.6,BON8 Comdty
BO  V7,20-May-15,33.47,BOV7 Comdty
BO  K6,21-May-15,32.83,BOK6 Comdty
BO  Z5,21-May-15,32.48,BOZ5 Comdty
BO  Q6,21-May-15,33,BOQ6 Comdty
BO  N6,21-May-15,32.96,BON6 Comdty
BO  U7,21-May-15,33.45,BOU7 Comdty
BO  F6,21-May-15,32.58,BOF16 Comdty
BO  H6,21-May-15,32.71,BOH6 Comdty
BO  V5,21-May-15,32.34,BOV15 Comdty
BO  U6,21-May-15,33.01,BOU6 Comdty
BO  N5,21-May-15,32.25,BON15 Comdty
BO  F7,21-May-15,33.14,BOF7 Comdty
BO  Z6,21-May-15,33,BOZ6 Comdty
BO  Q7,21-May-15,33.44,BOQ7 Comdty
BO  Q5,21-May-15,32.3,BOQ15 Comdty
BO  K7,21-May-15,33.27,BOK7 Comdty
BO  U5,21-May-15,32.32,BOU15 Comdty
BO  V6,21-May-15,32.95,BOV6 Comdty
BO  V8,21-May-15,33.57,BOV8 Comdty
BO  N8,21-May-15,33.57,BON8 Comdty
BO  Z8,21-May-15,33.57,BOZ8 Comdty
BO  N7,21-May-15,33.43,BON7 Comdty
BO  H7,21-May-15,33.27,BOH7 Comdty
BO  Z7,21-May-15,33.57,BOZ7 Comdty
BO  V7,21-May-15,33.44,BOV7 Comdty
BO  K6,22-May-15,32.24,BOK6 Comdty
BO  Z5,22-May-15,31.89,BOZ5 Comdty
BO  Q6,22-May-15,32.43,BOQ6 Comdty
BO  V7,22-May-15,32.88,BOV7 Comdty
BO  N6,22-May-15,32.39,BON6 Comdty
BO  U6,22-May-15,32.44,BOU6 Comdty
BO  U5,22-May-15,31.73,BOU15 Comdty
BO  N8,22-May-15,33,BON8 Comdty
BO  N5,22-May-15,31.64,BON15 Comdty
BO  H6,22-May-15,32.12,BOH6 Comdty
BO  Z8,22-May-15,33,BOZ8 Comdty
BO  F6,22-May-15,31.97,BOF16 Comdty
BO  K7,22-May-15,32.71,BOK7 Comdty
BO  V5,22-May-15,31.75,BOV15 Comdty
BO  V8,22-May-15,33,BOV8 Comdty
BO  Z6,22-May-15,32.44,BOZ6 Comdty
BO  U7,22-May-15,32.89,BOU7 Comdty
BO  Q5,22-May-15,31.69,BOQ15 Comdty
BO  N7,22-May-15,32.87,BON7 Comdty
BO  H7,22-May-15,32.71,BOH7 Comdty
BO  Q7,22-May-15,32.88,BOQ7 Comdty
BO  V6,22-May-15,32.38,BOV6 Comdty
BO  Z7,22-May-15,33,BOZ7 Comdty
BO  F7,22-May-15,32.58,BOF7 Comdty
BO  K6,26-May-15,32.69,BOK6 Comdty
BO  Q6,26-May-15,32.84,BOQ6 Comdty
BO  Z5,26-May-15,32.4,BOZ5 Comdty
BO  N6,26-May-15,32.81,BON6 Comdty
BO  N8,26-May-15,33.39,BON8 Comdty
BO  H6,26-May-15,32.58,BOH6 Comdty
BO  V7,26-May-15,33.27,BOV7 Comdty
BO  N7,26-May-15,33.26,BON7 Comdty
BO  F6,26-May-15,32.46,BOF16 Comdty
BO  H7,26-May-15,33.11,BOH7 Comdty
BO  Z6,26-May-15,32.86,BOZ6 Comdty
BO  Q7,26-May-15,33.27,BOQ7 Comdty
BO  V5,26-May-15,32.26,BOV15 Comdty
BO  V6,26-May-15,32.77,BOV6 Comdty
BO  Q5,26-May-15,32.2,BOQ15 Comdty
BO  Z7,26-May-15,33.39,BOZ7 Comdty
BO  U5,26-May-15,32.25,BOU15 Comdty
BO  U6,26-May-15,32.84,BOU6 Comdty
BO  N5,26-May-15,32.14,BON15 Comdty
BO  V8,26-May-15,33.39,BOV8 Comdty
BO  Z8,26-May-15,33.39,BOZ8 Comdty
BO  K7,26-May-15,33.11,BOK7 Comdty
BO  F7,26-May-15,32.98,BOF7 Comdty
BO  U7,26-May-15,33.28,BOU7 Comdty
BO  N6,27-May-15,32.41,BON6 Comdty
BO  Z5,27-May-15,31.98,BOZ5 Comdty
BO  K6,27-May-15,32.28,BOK6 Comdty
BO  Q6,27-May-15,32.42,BOQ6 Comdty
BO  K7,27-May-15,32.78,BOK7 Comdty
BO  N5,27-May-15,31.73,BON15 Comdty
BO  U7,27-May-15,32.88,BOU7 Comdty
BO  Q5,27-May-15,31.79,BOQ15 Comdty
BO  V5,27-May-15,31.82,BOV15 Comdty
BO  U5,27-May-15,31.83,BOU15 Comdty
BO  H6,27-May-15,32.18,BOH6 Comdty
BO  Z6,27-May-15,32.47,BOZ6 Comdty
BO  F6,27-May-15,32.05,BOF16 Comdty
BO  Z8,27-May-15,33,BOZ8 Comdty
BO  U6,27-May-15,32.43,BOU6 Comdty
BO  N7,27-May-15,32.87,BON7 Comdty
BO  V8,27-May-15,33,BOV8 Comdty
BO  Q7,27-May-15,32.87,BOQ7 Comdty
BO  N8,27-May-15,33,BON8 Comdty
BO  F7,27-May-15,32.55,BOF7 Comdty
BO  V7,27-May-15,32.87,BOV7 Comdty
BO  H7,27-May-15,32.72,BOH7 Comdty
BO  V6,27-May-15,32.39,BOV6 Comdty
BO  Z7,27-May-15,33,BOZ7 Comdty
BO  N6,28-May-15,32.65,BON6 Comdty
BO  Z5,28-May-15,32.26,BOZ5 Comdty
BO  Q6,28-May-15,32.66,BOQ6 Comdty
BO  K6,28-May-15,32.53,BOK6 Comdty
BO  K7,28-May-15,32.99,BOK7 Comdty
BO  V7,28-May-15,33.02,BOV7 Comdty
BO  V5,28-May-15,32.13,BOV15 Comdty
BO  U7,28-May-15,33.04,BOU7 Comdty
BO  N5,28-May-15,32.06,BON15 Comdty
BO  U5,28-May-15,32.15,BOU15 Comdty
BO  V6,28-May-15,32.6,BOV6 Comdty
BO  V8,28-May-15,33.11,BOV8 Comdty
BO  F6,28-May-15,32.35,BOF16 Comdty
BO  F7,28-May-15,32.74,BOF7 Comdty
BO  H6,28-May-15,32.47,BOH6 Comdty
BO  Z8,28-May-15,33.11,BOZ8 Comdty
BO  U6,28-May-15,32.67,BOU6 Comdty
BO  Q7,28-May-15,33.05,BOQ7 Comdty
BO  Q5,28-May-15,32.12,BOQ15 Comdty
BO  N8,28-May-15,33.11,BON8 Comdty
BO  Z7,28-May-15,33.11,BOZ7 Comdty
BO  N7,28-May-15,33.09,BON7 Comdty
BO  Z6,28-May-15,32.67,BOZ6 Comdty
BO  H7,28-May-15,32.91,BOH7 Comdty
BO  U7,29-May-15,33.79,BOU7 Comdty
BO  K6,29-May-15,33.44,BOK6 Comdty
BO  N8,29-May-15,33.68,BON8 Comdty
BO  Q6,29-May-15,33.48,BOQ6 Comdty
BO  N5,29-May-15,33.33,BON15 Comdty
BO  Z5,29-May-15,33.39,BOZ5 Comdty
BO  H6,29-May-15,33.47,BOH6 Comdty
BO  N6,29-May-15,33.51,BON6 Comdty
BO  Q5,29-May-15,33.35,BOQ15 Comdty
BO  V8,29-May-15,33.68,BOV8 Comdty
BO  V5,29-May-15,33.27,BOV15 Comdty
BO  V7,29-May-15,33.77,BOV7 Comdty
BO  F6,29-May-15,33.43,BOF16 Comdty
BO  Z8,29-May-15,33.68,BOZ8 Comdty
BO  U5,29-May-15,33.33,BOU15 Comdty
BO  N7,29-May-15,33.84,BON7 Comdty
BO  Z6,29-May-15,33.4,BOZ6 Comdty
BO  H7,29-May-15,33.66,BOH7 Comdty
BO  F7,29-May-15,33.49,BOF7 Comdty
BO  Q7,29-May-15,33.8,BOQ7 Comdty
BO  V6,29-May-15,33.36,BOV6 Comdty
BO  Z7,29-May-15,33.68,BOZ7 Comdty
BO  U6,29-May-15,33.45,BOU6 Comdty
BO  K7,29-May-15,33.74,BOK7 Comdty
BO  Q6,1-Jun-15,34.45,BOQ6 Comdty
BO  N6,1-Jun-15,34.5,BON6 Comdty
BO  Z5,1-Jun-15,34.57,BOZ5 Comdty
BO  K6,1-Jun-15,34.53,BOK6 Comdty
BO  V7,1-Jun-15,34.64,BOV7 Comdty
BO  Q5,1-Jun-15,34.51,BOQ15 Comdty
BO  N8,1-Jun-15,34.51,BON8 Comdty
BO  Z6,1-Jun-15,34.19,BOZ6 Comdty
BO  F6,1-Jun-15,34.6,BOF16 Comdty
BO  H6,1-Jun-15,34.62,BOH6 Comdty
BO  V5,1-Jun-15,34.47,BOV15 Comdty
BO  N5,1-Jun-15,34.51,BON15 Comdty
BO  Z8,1-Jun-15,34.51,BOZ8 Comdty
BO  U5,1-Jun-15,34.52,BOU15 Comdty
BO  V6,1-Jun-15,34.18,BOV6 Comdty
BO  N7,1-Jun-15,34.71,BON7 Comdty
BO  U6,1-Jun-15,34.32,BOU6 Comdty
BO  K7,1-Jun-15,34.61,BOK7 Comdty
BO  U7,1-Jun-15,34.66,BOU7 Comdty
BO  H7,1-Jun-15,34.53,BOH7 Comdty
BO  Q7,1-Jun-15,34.67,BOQ7 Comdty
BO  Z7,1-Jun-15,34.51,BOZ7 Comdty
BO  V8,1-Jun-15,34.51,BOV8 Comdty
BO  F7,1-Jun-15,34.36,BOF7 Comdty
BO  N6,2-Jun-15,34.18,BON6 Comdty
BO  Z5,2-Jun-15,34.24,BOZ5 Comdty
BO  K6,2-Jun-15,34.2,BOK6 Comdty
BO  N8,2-Jun-15,34.12,BON8 Comdty
BO  Q6,2-Jun-15,34.11,BOQ6 Comdty
BO  V7,2-Jun-15,34.21,BOV7 Comdty
BO  H6,2-Jun-15,34.28,BOH6 Comdty
BO  K7,2-Jun-15,34.18,BOK7 Comdty
BO  V6,2-Jun-15,33.83,BOV6 Comdty
BO  U7,2-Jun-15,34.23,BOU7 Comdty
BO  H7,2-Jun-15,34.1,BOH7 Comdty
BO  Q5,2-Jun-15,34.18,BOQ15 Comdty
BO  F7,2-Jun-15,33.93,BOF7 Comdty
BO  F6,2-Jun-15,34.27,BOF16 Comdty
BO  Z8,2-Jun-15,34.12,BOZ8 Comdty
BO  Z6,2-Jun-15,33.83,BOZ6 Comdty
BO  N7,2-Jun-15,34.28,BON7 Comdty
BO  U5,2-Jun-15,34.19,BOU15 Comdty
BO  V5,2-Jun-15,34.17,BOV15 Comdty
BO  N5,2-Jun-15,34.17,BON15 Comdty
BO  Q7,2-Jun-15,34.24,BOQ7 Comdty
BO  Z7,2-Jun-15,34.12,BOZ7 Comdty
BO  U6,2-Jun-15,33.97,BOU6 Comdty
BO  V8,2-Jun-15,34.12,BOV8 Comdty
BO  K6,3-Jun-15,34.93,BOK6 Comdty
BO  V7,3-Jun-15,34.93,BOV7 Comdty
BO  N6,3-Jun-15,34.88,BON6 Comdty
BO  Z6,3-Jun-15,34.55,BOZ6 Comdty
BO  Z5,3-Jun-15,34.85,BOZ5 Comdty
BO  Q5,3-Jun-15,34.73,BOQ15 Comdty
BO  N8,3-Jun-15,34.81,BON8 Comdty
BO  U6,3-Jun-15,34.66,BOU6 Comdty
BO  V6,3-Jun-15,34.5,BOV6 Comdty
BO  Z8,3-Jun-15,34.81,BOZ8 Comdty
BO  U5,3-Jun-15,34.75,BOU15 Comdty
BO  N7,3-Jun-15,35,BON7 Comdty
BO  H6,3-Jun-15,35.02,BOH6 Comdty
BO  K7,3-Jun-15,34.9,BOK7 Comdty
BO  N5,3-Jun-15,34.73,BON15 Comdty
BO  H7,3-Jun-15,34.82,BOH7 Comdty
BO  V5,3-Jun-15,34.74,BOV15 Comdty
BO  Q7,3-Jun-15,34.96,BOQ7 Comdty
BO  F6,3-Jun-15,34.94,BOF16 Comdty
BO  Q6,3-Jun-15,34.76,BOQ6 Comdty
BO  Z7,3-Jun-15,34.81,BOZ7 Comdty
BO  V8,3-Jun-15,34.81,BOV8 Comdty
BO  F7,3-Jun-15,34.65,BOF7 Comdty
BO  U7,3-Jun-15,34.95,BOU7 Comdty
BO  K6,4-Jun-15,34.66,BOK6 Comdty
BO  Q6,4-Jun-15,34.52,BOQ6 Comdty
BO  V7,4-Jun-15,34.63,BOV7 Comdty
BO  Z5,4-Jun-15,34.61,BOZ5 Comdty
BO  K7,4-Jun-15,34.6,BOK7 Comdty
BO  N6,4-Jun-15,34.59,BON6 Comdty
BO  V5,4-Jun-15,34.53,BOV15 Comdty
BO  F6,4-Jun-15,34.71,BOF16 Comdty
BO  N8,4-Jun-15,34.51,BON8 Comdty
BO  U5,4-Jun-15,34.54,BOU15 Comdty
BO  H6,4-Jun-15,34.76,BOH6 Comdty
BO  Q5,4-Jun-15,34.52,BOQ15 Comdty
BO  U6,4-Jun-15,34.39,BOU6 Comdty
BO  N7,4-Jun-15,34.7,BON7 Comdty
BO  Z6,4-Jun-15,34.25,BOZ6 Comdty
BO  H7,4-Jun-15,34.52,BOH7 Comdty
BO  N5,4-Jun-15,34.53,BON15 Comdty
BO  Q7,4-Jun-15,34.66,BOQ7 Comdty
BO  Z7,4-Jun-15,34.51,BOZ7 Comdty
BO  V6,4-Jun-15,34.22,BOV6 Comdty
BO  F7,4-Jun-15,34.35,BOF7 Comdty
BO  V8,4-Jun-15,34.51,BOV8 Comdty
BO  Z8,4-Jun-15,34.51,BOZ8 Comdty
BO  U7,4-Jun-15,34.65,BOU7 Comdty
BO  Q6,5-Jun-15,34.7,BOQ6 Comdty
BO  N6,5-Jun-15,34.78,BON6 Comdty
BO  U5,5-Jun-15,34.82,BOU15 Comdty
BO  K6,5-Jun-15,34.85,BOK6 Comdty
BO  F6,5-Jun-15,35,BOF16 Comdty
BO  Z5,5-Jun-15,34.89,BOZ5 Comdty
BO  H6,5-Jun-15,35.02,BOH6 Comdty
BO  U7,5-Jun-15,34.8,BOU7 Comdty
BO  N5,5-Jun-15,34.78,BON15 Comdty
BO  Z6,5-Jun-15,34.4,BOZ6 Comdty
BO  Q5,5-Jun-15,34.79,BOQ15 Comdty
BO  U6,5-Jun-15,34.57,BOU6 Comdty
BO  V8,5-Jun-15,34.66,BOV8 Comdty
BO  V5,5-Jun-15,34.83,BOV15 Comdty
BO  Z8,5-Jun-15,34.66,BOZ8 Comdty
BO  F7,5-Jun-15,34.5,BOF7 Comdty
BO  N7,5-Jun-15,34.85,BON7 Comdty
BO  N8,5-Jun-15,34.66,BON8 Comdty
BO  H7,5-Jun-15,34.67,BOH7 Comdty
BO  V6,5-Jun-15,34.39,BOV6 Comdty
BO  Q7,5-Jun-15,34.81,BOQ7 Comdty
BO  K7,5-Jun-15,34.75,BOK7 Comdty
BO  Z7,5-Jun-15,34.66,BOZ7 Comdty
BO  V7,5-Jun-15,34.78,BOV7 Comdty
BO  N6,8-Jun-15,34.29,BON6 Comdty
BO  Q6,8-Jun-15,34.22,BOQ6 Comdty
BO  Z5,8-Jun-15,34.32,BOZ5 Comdty
BO  K6,8-Jun-15,34.36,BOK6 Comdty
BO  U7,8-Jun-15,34.39,BOU7 Comdty
BO  N8,8-Jun-15,34.25,BON8 Comdty
BO  H6,8-Jun-15,34.51,BOH6 Comdty
BO  V7,8-Jun-15,34.37,BOV7 Comdty
BO  Q5,8-Jun-15,34.13,BOQ15 Comdty
BO  K7,8-Jun-15,34.34,BOK7 Comdty
BO  F6,8-Jun-15,34.46,BOF16 Comdty
BO  N5,8-Jun-15,34.1,BON15 Comdty
BO  U5,8-Jun-15,34.17,BOU15 Comdty
BO  V5,8-Jun-15,34.19,BOV15 Comdty
BO  Z8,8-Jun-15,34.25,BOZ8 Comdty
BO  Z6,8-Jun-15,33.99,BOZ6 Comdty
BO  V6,8-Jun-15,33.97,BOV6 Comdty
BO  U6,8-Jun-15,34.1,BOU6 Comdty
BO  H7,8-Jun-15,34.26,BOH7 Comdty
BO  Q7,8-Jun-15,34.4,BOQ7 Comdty
BO  Z7,8-Jun-15,34.25,BOZ7 Comdty
BO  V8,8-Jun-15,34.25,BOV8 Comdty
BO  F7,8-Jun-15,34.09,BOF7 Comdty
BO  N7,8-Jun-15,34.44,BON7 Comdty
BO  K6,9-Jun-15,34.16,BOK6 Comdty
BO  N6,9-Jun-15,34.14,BON6 Comdty
BO  Q6,9-Jun-15,34.05,BOQ6 Comdty
BO  Z5,9-Jun-15,34.2,BOZ5 Comdty
BO  U7,9-Jun-15,34.23,BOU7 Comdty
BO  K7,9-Jun-15,34.18,BOK7 Comdty
BO  U5,9-Jun-15,34.01,BOU15 Comdty
BO  Q5,9-Jun-15,33.96,BOQ15 Comdty
BO  N5,9-Jun-15,33.93,BON15 Comdty
BO  F6,9-Jun-15,34.35,BOF16 Comdty
BO  V5,9-Jun-15,34.04,BOV15 Comdty
BO  H6,9-Jun-15,34.37,BOH6 Comdty
BO  Z6,9-Jun-15,33.83,BOZ6 Comdty
BO  U6,9-Jun-15,33.94,BOU6 Comdty
BO  F7,9-Jun-15,33.93,BOF7 Comdty
BO  V8,9-Jun-15,34.09,BOV8 Comdty
BO  N7,9-Jun-15,34.28,BON7 Comdty
BO  H7,9-Jun-15,34.1,BOH7 Comdty
BO  Z8,9-Jun-15,34.09,BOZ8 Comdty
BO  N8,9-Jun-15,34.09,BON8 Comdty
BO  Q7,9-Jun-15,34.24,BOQ7 Comdty
BO  V6,9-Jun-15,33.8,BOV6 Comdty
BO  Z7,9-Jun-15,34.09,BOZ7 Comdty
BO  V7,9-Jun-15,34.21,BOV7 Comdty
BO  Q6,10-Jun-15,34.07,BOQ6 Comdty
BO  N6,10-Jun-15,34.16,BON6 Comdty
BO  Z5,10-Jun-15,34.15,BOZ5 Comdty
BO  U7,10-Jun-15,34.27,BOU7 Comdty
BO  K6,10-Jun-15,34.2,BOK6 Comdty
BO  U6,10-Jun-15,33.95,BOU6 Comdty
BO  Z6,10-Jun-15,33.87,BOZ6 Comdty
BO  N8,10-Jun-15,34.13,BON8 Comdty
BO  N5,10-Jun-15,33.87,BON15 Comdty
BO  V7,10-Jun-15,34.25,BOV7 Comdty
BO  H7,10-Jun-15,34.14,BOH7 Comdty
BO  K7,10-Jun-15,34.22,BOK7 Comdty
BO  F7,10-Jun-15,33.97,BOF7 Comdty
BO  U5,10-Jun-15,33.96,BOU15 Comdty
BO  H6,10-Jun-15,34.35,BOH6 Comdty
BO  Q5,10-Jun-15,33.91,BOQ15 Comdty
BO  V5,10-Jun-15,34,BOV15 Comdty
BO  F6,10-Jun-15,34.33,BOF16 Comdty
BO  V6,10-Jun-15,33.8,BOV6 Comdty
BO  Q7,10-Jun-15,34.28,BOQ7 Comdty
BO  Z7,10-Jun-15,34.13,BOZ7 Comdty
BO  V8,10-Jun-15,34.13,BOV8 Comdty
BO  Z8,10-Jun-15,34.13,BOZ8 Comdty
BO  N7,10-Jun-15,34.32,BON7 Comdty
BO  Z5,11-Jun-15,33.59,BOZ5 Comdty
BO  N6,11-Jun-15,33.66,BON6 Comdty
BO  K6,11-Jun-15,33.7,BOK6 Comdty
BO  V5,11-Jun-15,33.43,BOV15 Comdty
BO  U7,11-Jun-15,33.79,BOU7 Comdty
BO  N7,11-Jun-15,33.84,BON7 Comdty
BO  Z6,11-Jun-15,33.39,BOZ6 Comdty
BO  N8,11-Jun-15,33.65,BON8 Comdty
BO  Z7,11-Jun-15,33.65,BOZ7 Comdty
BO  V7,11-Jun-15,33.77,BOV7 Comdty
BO  V8,11-Jun-15,33.65,BOV8 Comdty
BO  U6,11-Jun-15,33.5,BOU6 Comdty
BO  K7,11-Jun-15,33.74,BOK7 Comdty
BO  N5,11-Jun-15,33.29,BON15 Comdty
BO  Q6,11-Jun-15,33.59,BOQ6 Comdty
BO  U5,11-Jun-15,33.39,BOU15 Comdty
BO  F6,11-Jun-15,33.75,BOF16 Comdty
BO  Q5,11-Jun-15,33.33,BOQ15 Comdty
BO  H6,11-Jun-15,33.81,BOH6 Comdty
BO  F7,11-Jun-15,33.49,BOF7 Comdty
BO  Z8,11-Jun-15,33.65,BOZ8 Comdty
BO  H7,11-Jun-15,33.66,BOH7 Comdty
BO  Q7,11-Jun-15,33.8,BOQ7 Comdty
BO  V6,11-Jun-15,33.36,BOV6 Comdty
BO  Z5,12-Jun-15,33.37,BOZ5 Comdty
BO  N6,12-Jun-15,33.5,BON6 Comdty
BO  Q6,12-Jun-15,33.44,BOQ6 Comdty
BO  U7,12-Jun-15,33.66,BOU7 Comdty
BO  K6,12-Jun-15,33.51,BOK6 Comdty
BO  Z6,12-Jun-15,33.26,BOZ6 Comdty
BO  K7,12-Jun-15,33.61,BOK7 Comdty
BO  U5,12-Jun-15,33.2,BOU15 Comdty
BO  H6,12-Jun-15,33.58,BOH6 Comdty
BO  V5,12-Jun-15,33.22,BOV15 Comdty
BO  U6,12-Jun-15,33.38,BOU6 Comdty
BO  Q5,12-Jun-15,33.16,BOQ15 Comdty
BO  V6,12-Jun-15,33.24,BOV6 Comdty
BO  N5,12-Jun-15,33.14,BON15 Comdty
BO  F6,12-Jun-15,33.52,BOF16 Comdty
BO  Z7,12-Jun-15,33.57,BOZ7 Comdty
BO  V8,12-Jun-15,33.57,BOV8 Comdty
BO  Z8,12-Jun-15,33.57,BOZ8 Comdty
BO  F7,12-Jun-15,33.36,BOF7 Comdty
BO  N7,12-Jun-15,33.71,BON7 Comdty
BO  H7,12-Jun-15,33.53,BOH7 Comdty
BO  N8,12-Jun-15,33.57,BON8 Comdty
BO  Q7,12-Jun-15,33.67,BOQ7 Comdty
BO  V7,12-Jun-15,33.64,BOV7 Comdty
BO  N6,15-Jun-15,33.17,BON6 Comdty
BO  Z5,15-Jun-15,33.02,BOZ5 Comdty
BO  K6,15-Jun-15,33.18,BOK6 Comdty
