value_date,vol_id,strike,call_put_id,settle_vol,sunday,tau,expdate,underlying_id,pdt,ftmth,op_id,order,label
2017-01-03,CT N7.N7,61,P,0.192159761,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
2017-01-03,CT N7.N7,62,C,0.19057962399999998,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 C
2017-01-03,CT N7.N7,62,P,0.19057962399999998,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
2017-01-03,CT N7.N7,63,C,0.18985047100000002,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 C
2017-01-03,CT N7.N7,63,P,0.18985047100000002,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
2017-01-03,CT N7.N7,64,C,0.189384092,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 C
2017-01-03,CT N7.N7,64,P,0.189384092,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
2017-01-03,CT N7.N7,65,C,0.18884046300000001,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 C
2017-01-03,CT N7.N7,65,P,0.18884046300000001,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
2017-01-03,CT N7.N7,66,C,0.18873872100000003,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 C
2017-01-03,CT N7.N7,66,P,0.18873872100000003,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
2017-01-03,CT N7.N7,67,C,0.18878329300000002,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 C
2017-01-03,CT N7.N7,67,P,0.18878329300000002,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
2017-01-03,CT N7.N7,68,C,0.18940998,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 C
2017-01-03,CT N7.N7,68,P,0.18940998,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
2017-01-03,CT N7.N7,69,C,0.190417132,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 C
2017-01-03,CT N7.N7,69,P,0.190417132,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
2017-01-03,CT N7.N7,70,C,0.191164305,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 C
2017-01-03,CT N7.N7,70,P,0.191164305,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
2017-01-03,CT N7.N7,71,C,0.192200549,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 C
2017-01-03,CT N7.N7,71,P,0.192200549,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
2017-01-03,CT N7.N7,72,C,0.193011632,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 C
2017-01-03,CT N7.N7,72,P,0.193011632,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
2017-01-03,CT N7.N7,73,C,0.194175438,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 C
2017-01-03,CT N7.N7,73,P,0.194175438,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
2017-01-03,CT N7.N7,74,C,0.195251977,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 C
2017-01-03,CT N7.N7,74,P,0.195251977,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
2017-01-03,CT N7.N7,75,C,0.196869109,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 C
2017-01-03,CT N7.N7,75,P,0.196869109,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
2017-01-03,CT N7.N7,76,C,0.198108587,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 C
2017-01-03,CT N7.N7,76,P,0.198108587,False,0.44931506849315067,2017-06-16 00:00:00,CT  N7,CT,N7,N7,3,CT N7.N7 3 P
