underlying_id,value_date,settle_value,sunday,pdt,ftmth,expdate,order,returns
CT  N7,2017-01-03,72.46,False,CT,N7,2017-06-16,3,0.02736167425562311
CT  N7,2017-01-04,74.47,False,CT,N7,2017-06-16,3,-0.0055207842370874815
CT  N7,2017-01-05,74.06,False,CT,N7,2017-06-16,3,0.006326153408135748
CT  N7,2017-01-06,74.53,False,CT,N7,2017-06-16,3,-0.008759573562563268
CT  N7,2017-01-09,73.88,False,CT,N7,2017-06-16,3,0.0028384150975264907
CT  N7,2017-01-10,74.09,False,CT,N7,2017-06-16,3,0.0010791853199010398
CT  N7,2017-01-11,74.17,False,CT,N7,2017-06-16,3,-0.010708336821330808
CT  N7,2017-01-12,73.38,False,CT,N7,2017-06-16,3,-0.0015001707552634428
CT  N7,2017-01-13,73.27,False,CT,N7,2017-06-16,3,-0.0027333623687460923
CT  N7,2017-01-17,73.07,False,CT,N7,2017-06-16,3,0.002460362094050431
CT  N7,2017-01-18,73.25,False,CT,N7,2017-06-16,3,0.007615975884784209
CT  N7,2017-01-19,73.81,False,CT,N7,2017-06-16,3,0.005943553900847917
CT  N7,2017-01-20,74.25,False,CT,N7,2017-06-16,3,0.01867966255155597
CT  N7,2017-01-23,75.65,False,CT,N7,2017-06-16,3,-0.008362695580623726
CT  N7,2017-01-24,75.02,False,CT,N7,2017-06-16,3,0.0015982954920816216
CT  N7,2017-01-25,75.14,False,CT,N7,2017-06-16,3,0.001462863483162371
CT  N7,2017-01-26,75.25,False,CT,N7,2017-06-16,3,0.008600780772599122
CT  N7,2017-01-27,75.9,False,CT,N7,2017-06-16,3,-0.006079046076382338
CT  N7,2017-01-30,75.44,False,CT,N7,2017-06-16,3,0.009498752157907905
CT  N7,2017-01-31,76.16,False,CT,N7,2017-06-16,3,0.018344364019670222
CT  N7,2017-02-01,77.57,False,CT,N7,2017-06-16,3,0.007833105862028806
CT  N7,2017-02-02,78.18,False,CT,N7,2017-06-16,3,-0.005258107657956997
CT  N7,2017-02-03,77.77,False,CT,N7,2017-06-16,3,-0.008522778861982626
CT  N7,2017-02-06,77.11,False,CT,N7,2017-06-16,3,-0.0020771135599810357
CT  N7,2017-02-07,76.95,False,CT,N7,2017-06-16,3,0.003373122035836153
CT  N7,2017-02-08,77.21,False,CT,N7,2017-06-16,3,0.0025869888958976635
CT  N7,2017-02-09,77.41,False,CT,N7,2017-06-16,3,0.006823328693941206
CT  N7,2017-02-10,77.94,False,CT,N7,2017-06-16,3,0.014141263744917856
CT  N7,2017-02-13,79.05,False,CT,N7,2017-06-16,3,-0.004056286459105064
CT  N7,2017-02-14,78.73,False,CT,N7,2017-06-16,3,-0.009315450506784137
CT  N7,2017-02-15,78.0,False,CT,N7,2017-06-16,3,-0.005141399500418764
CT  N7,2017-02-16,77.6,False,CT,N7,2017-06-16,3,-0.014668920133039248
CT  N7,2017-02-17,76.47,False,CT,N7,2017-06-16,3,0.0031335709150712037
CT  N7,2017-02-21,76.71,False,CT,N7,2017-06-16,3,-0.0024799333991527826
CT  N7,2017-02-22,76.52,False,CT,N7,2017-06-16,3,0.005213776148527016
CT  N7,2017-02-23,76.92,False,CT,N7,2017-06-16,3,0.0075120156387223835
CT  N7,2017-02-24,77.5,False,CT,N7,2017-06-16,3,-0.0029721544138088104
CT  N7,2017-02-27,77.27,False,CT,N7,2017-06-16,3,0.002714056593302697
CT  N7,2017-02-28,77.48,False,CT,N7,2017-06-16,3,0.01600443865758069
CT  N7,2017-03-01,78.73,False,CT,N7,2017-06-16,3,-0.011111935014066246
CT  N7,2017-03-02,77.86,False,CT,N7,2017-06-16,3,0.012381292889507105
CT  N7,2017-03-03,78.83,False,CT,N7,2017-06-16,3,0.014357929271981762
CT  N7,2017-03-06,79.97,False,CT,N7,2017-06-16,3,-0.012330302167470872
CT  N7,2017-03-07,78.99,False,CT,N7,2017-06-16,3,0.000506265040556292
CT  N7,2017-03-08,79.03,False,CT,N7,2017-06-16,3,-0.0017730501098856923
CT  N7,2017-03-09,78.89,False,CT,N7,2017-06-16,3,-0.006613276042224944
CT  N7,2017-03-10,78.37,False,CT,N7,2017-06-16,3,-0.0065288588824636675
CT  N7,2017-03-13,77.86,False,CT,N7,2017-06-16,3,0.004229419954112917
CT  N7,2017-03-14,78.19,False,CT,N7,2017-06-16,3,0.011444682394903337
CT  N7,2017-03-15,79.09,False,CT,N7,2017-06-16,3,0.0003792427831309084
CT  N7,2017-03-16,79.12,False,CT,N7,2017-06-16,3,0.0032807600404625233
CT  N7,2017-03-17,79.38,False,CT,N7,2017-06-16,3,-0.010638398205055643
CT  N7,2017-03-20,78.54,False,CT,N7,2017-06-16,3,-0.005746041475279935
CT  N7,2017-03-21,78.09,False,CT,N7,2017-06-16,3,0.005236617113779072
CT  N7,2017-03-22,78.5,False,CT,N7,2017-06-16,3,-0.0002548095312550157
CT  N7,2017-03-23,78.48,False,CT,N7,2017-06-16,3,0.003307470258483791
CT  N7,2017-03-24,78.74,False,CT,N7,2017-06-16,3,-0.005475976752745088
CT  N7,2017-03-27,78.31,False,CT,N7,2017-06-16,3,-0.00038316623497086405
CT  N7,2017-03-28,78.28,False,CT,N7,2017-06-16,3,-0.008338192110286554
CT  N7,2017-03-29,77.63,False,CT,N7,2017-06-16,3,-0.00038652322841588663
CT  N7,2017-03-30,77.6,False,CT,N7,2017-06-16,3,0.012677037688910667
CT  N7,2017-03-31,78.59,False,CT,N7,2017-06-16,3,0.0
