value_date,underlying_id,tau,vol_id,order,pdt,call_put_id,10d,11d,12d,13d,14d,15d,16d,17d,18d,19d,20d,21d,22d,23d,24d,25d,26d,27d,28d,29d,30d,31d,32d,33d,34d,35d,36d,37d,38d,39d,40d,41d,42d,43d,44d,45d,46d,47d,48d,49d,50d,51d,52d,53d,54d,55d,56d,57d,58d,59d,5d,60d,61d,62d,63d,64d,65d,66d,67d,68d,69d,6d,70d,71d,72d,73d,74d,75d,76d,77d,78d,79d,7d,80d,81d,82d,83d,84d,85d,86d,87d,88d,89d,8d,90d,91d,92d,93d,94d,95d,9d,settle_value,returns,expdate
2017-01-03,CT  N7,0.44931506849315067,CT  N7.N7,3,CT,C,0.2218672936589747,0.2201175064917382,0.2186208137405939,0.21728371962447293,0.21597626318596358,0.21468953123155157,0.21338614587907556,0.21220580379981094,0.21130323574009982,0.21034180934072655,0.2092710610197256,0.2082429671145697,0.2073407816035541,0.2064385960925385,0.20584636876260953,0.2052806043863521,0.20470238843376476,0.20409297306698543,0.20348355770020612,0.2029300693045029,0.2024456289017383,0.2019611884989737,0.2014322754111142,0.20082046201413262,0.20020864861715104,0.1996095078323814,0.19917869438349667,0.19874788093461193,0.1983170674857272,0.1979394409222499,0.19761168742998342,0.19728393393771693,0.19695618044545044,0.196567731449268,0.19615732466550562,0.1957469178817432,0.19533651109798078,0.19504422714706415,0.19478258524612974,0.1945209433451953,0.19425930144426087,0.19398779073355454,0.1937116246084987,0.19343545848344287,0.19315929235838702,0.19292315292455892,0.19273300641170973,0.19254285989886052,0.19235271338601131,0.19215203086219781,0.23608957605494998,0.1919091388632216,0.1916662468642454,0.1914233548652692,0.191180462866293,0.19099805343929907,0.19081995421165437,0.19064185498400968,0.190463755756365,0.19023557107943018,0.18998962512913833,0.23268108779066107,0.18974367917884652,0.18949773322855468,0.18930643307785502,0.18914544623922502,0.188984459400595,0.188823472561965,0.18877401296266863,0.18876164645699456,0.18874927995132046,0.18874321438669356,0.2302528346280575,0.1887739561964376,0.18880469800618166,0.1888354398159257,0.18899444950564628,0.18917851159047597,0.18936257367530565,0.18954004406560385,0.18971664181567827,0.18992759943035958,0.19024607415656494,0.2273663633963004,0.1905645488827703,0.19137535258292773,0.19222845803622135,0.19335670812373326,0.19494618037283867,0.1970596867815576,0.22410698803951462,72.46,0.02736167425562311,2017-06-16
2017-01-03,CT  N7,0.44931506849315067,CT  N7.N7,3,CT,P,0.1905645488827703,0.19024607415656494,0.18992759943035958,0.18971664181567824,0.18954004406560382,0.18936257367530565,0.18917851159047597,0.18899444950564628,0.1888354398159257,0.18880469800618166,0.1887739561964376,0.18874321438669356,0.18874927995132046,0.18876164645699456,0.18877401296266863,0.188823472561965,0.18898445940059502,0.18914544623922502,0.18930643307785502,0.1894977332285547,0.18974367917884652,0.18998962512913836,0.19023557107943018,0.190463755756365,0.1906418549840097,0.19081995421165437,0.19099805343929907,0.191180462866293,0.1914233548652692,0.1916662468642454,0.19190913886322164,0.19215203086219784,0.19235271338601131,0.19254285989886052,0.19273300641170973,0.19292315292455892,0.19315929235838705,0.19343545848344287,0.1937116246084987,0.19398779073355454,0.19425930144426087,0.19452094334519532,0.19478258524612974,0.19504422714706415,0.19533651109798078,0.1957469178817432,0.19615732466550562,0.19656773144926803,0.19695618044545044,0.19728393393771693,0.19705968678155755,0.19761168742998342,0.1979394409222499,0.1983170674857272,0.19874788093461193,0.19917869438349667,0.1996095078323814,0.20020864861715104,0.20082046201413264,0.20143227541111422,0.2019611884989737,0.19494618037283865,0.2024456289017383,0.2029300693045029,0.20348355770020612,0.20409297306698546,0.20470238843376476,0.20528060438635212,0.20584636876260953,0.20643859609253853,0.2073407816035541,0.2082429671145697,0.19335670812373323,0.2092710610197256,0.21034180934072655,0.21130323574009985,0.21220580379981094,0.2133861458790756,0.2146895312315516,0.2159762631859636,0.21728371962447296,0.21862081374059392,0.22011750649173825,0.19222845803622132,0.22186729365897476,0.22410698803951468,0.2273663633963005,0.23025283462805754,0.23268108779066113,0.2360895760549501,0.1913753525829277,72.46,0.02736167425562311,2017-06-16
2017-01-04,CT  N7,0.4465753424657534,CT  N7.N7,3,CT,P,0.20198626830247804,0.2013022924341549,0.20092969986371936,0.2010067060521139,0.20108371224050842,0.2008637435392366,0.2006370677137943,0.2005038723218334,0.2005425556537837,0.20058123898573404,0.20058234999536134,0.20052395933735187,0.2004655686793424,0.2004593939571303,0.20065700063841227,0.2008546073196942,0.20105221400097617,0.2012491078542912,0.20144573007283706,0.2016423522913829,0.20183800046605205,0.2020205822514328,0.20220316403681354,0.2023857458221943,0.2026021489288074,0.20290346408357565,0.20320477923834393,0.20350609439311218,0.2037989994244904,0.20407900182943478,0.20435900423437917,0.20463900663932355,0.20497707142746902,0.20537882261207646,0.20578057379668394,0.2061823249812914,0.206514375781968,0.20679433011823165,0.20707428445449533,0.207354238790759,0.20775598558560845,0.2082041589042476,0.20865233222288673,0.20910050554152587,0.20961930478053617,0.21013923543503457,0.21065916608953297,0.21116454941328713,0.2116471169005523,0.21212968438781743,0.20859580282818707,0.2126122518750826,0.21308985083990958,0.21356714030864846,0.21404442977738736,0.21466897211916522,0.21537035499249294,0.21607173786582062,0.21671694152265067,0.2173260518053925,0.21793516208813432,0.20620926295933528,0.21849432619350134,0.2190340506425375,0.21957377509157364,0.22033742014695537,0.22110279856963674,0.22189466150263717,0.22271250256766176,0.22355687257071963,0.22450431927563955,0.22543336232329245,0.20459194006830397,0.2261993773861203,0.2269989623128131,0.22805597843636746,0.22928602576491816,0.23085363355432795,0.23193622959494806,0.2330979841734572,0.2348652721160897,0.23597203603179082,0.23720131588581067,0.2034885607164591,0.23958029634448533,0.24132139607197992,0.2441484576804902,0.24548116085736627,0.24839733293361393,0.2528966992449128,0.20272030336666774,74.47,-0.0055207842370874815,2017-06-16
2017-01-04,CT  N7,0.4465753424657534,CT  N7.N7,3,CT,C,0.23958029634448524,0.23720131588581064,0.2359720360317908,0.23486527211608965,0.23309798417345717,0.23193622959494803,0.23085363355432792,0.22928602576491813,0.22805597843636743,0.22699896231281308,0.2261993773861203,0.22543336232329242,0.22450431927563952,0.2235568725707196,0.22271250256766173,0.22189466150263715,0.22110279856963674,0.22033742014695537,0.21957377509157364,0.21903405064253748,0.21849432619350134,0.21793516208813432,0.2173260518053925,0.21671694152265067,0.21607173786582062,0.2153703549924929,0.21466897211916522,0.21404442977738733,0.21356714030864846,0.21308985083990958,0.2126122518750826,0.21212968438781743,0.21164711690055227,0.2111645494132871,0.21065916608953297,0.21013923543503457,0.20961930478053617,0.20910050554152587,0.20865233222288673,0.2082041589042476,0.20775598558560845,0.207354238790759,0.20707428445449533,0.20679433011823165,0.20651437578196796,0.20618232498129138,0.20578057379668394,0.20537882261207646,0.204977071427469,0.20463900663932355,0.25289669924491276,0.20435900423437917,0.20407900182943478,0.2037989994244904,0.20350609439311218,0.20320477923834393,0.20290346408357565,0.20260214892880737,0.2023857458221943,0.20220316403681354,0.2020205822514328,0.24839733293361393,0.20183800046605205,0.2016423522913829,0.20144573007283703,0.2012491078542912,0.20105221400097617,0.2008546073196942,0.20065700063841227,0.2004593939571303,0.2004655686793424,0.20052395933735187,0.2454811608573662,0.20058234999536134,0.20058123898573404,0.2005425556537837,0.2005038723218334,0.2006370677137943,0.2008637435392366,0.20108371224050842,0.2010067060521139,0.20092969986371936,0.2013022924341549,0.2441484576804901,0.20198626830247807,0.20272030336666774,0.20348856071645913,0.204591940068304,0.20620926295933534,0.20859580282818713,0.2413213960719799,74.47,-0.0055207842370874815,2017-06-16
2017-01-05,CT  N7,0.4438356164383562,CT  N7.N7,3,CT,P,0.20859190420745038,0.20827979281721606,0.20786045838945158,0.2074411239616871,0.20687255604169363,0.20630120766513385,0.20599443893178798,0.20586922756063675,0.20574401618948548,0.20578611629893992,0.20586050916997792,0.20593490204101592,0.20592229292170514,0.20588494734797017,0.20584760177423522,0.20584447960401128,0.2058722836735531,0.2059000877430949,0.20593757317157652,0.20614521349491788,0.20635285381825924,0.2065604941416006,0.20670962219944763,0.2067624847791586,0.20681534735886956,0.20686820993858052,0.20700593911206422,0.20719588942368367,0.20738583973530314,0.2075757900469226,0.20776038252084125,0.20794329548264925,0.20812620844445723,0.2083091214062652,0.20861103766821487,0.2089295168878968,0.20924799610757872,0.20956676396723417,0.2099064862840975,0.2102462086009608,0.21058593091782413,0.21096749531296863,0.21149737753602607,0.21202725975908351,0.21255714198214096,0.21305645173877283,0.21353175979636937,0.21400706785396592,0.21448704480629574,0.21510009573946953,0.2155452145114391,0.21571314667264332,0.2163261976058171,0.21695967667423463,0.21760203928195984,0.21824440188968505,0.2190435091498535,0.2199748627105515,0.22090621627124948,0.22180965632282967,0.22269769857448163,0.21355235448670376,0.22358574082613356,0.22471574471805286,0.22586634872604539,0.22705990762145498,0.22830736103419863,0.22958431664561918,0.23101577629905842,0.23243777924942668,0.2337486494053875,0.2351055883772767,0.21149576938863612,0.23679075676810052,0.23870596124455845,0.2410017954585415,0.2434546639732362,0.24607118051258925,0.24874408771845102,0.2509790270681555,0.25480688855019923,0.2581801446547449,0.26281508878650434,0.2100055954501604,0.2685879096588296,0.2739258098975553,0.2793462348087378,0.2852234752404718,0.2924872890523861,0.29990442323517363,0.20888473328069,74.06,0.006326153408135748,2017-06-16
2017-01-05,CT  N7,0.4438356164383562,CT  N7.N7,3,CT,C,0.2685879096588295,0.2628150887865042,0.25818014465474487,0.2548068885501992,0.25097902706815545,0.248744087718451,0.24607118051258922,0.24345466397323617,0.24100179545854145,0.23870596124455842,0.2367907567681005,0.23510558837727666,0.23374864940538748,0.23243777924942666,0.2310157762990584,0.22958431664561915,0.22830736103419857,0.22705990762145492,0.22586634872604536,0.22471574471805286,0.22358574082613356,0.2226976985744816,0.22180965632282965,0.22090621627124948,0.21997486271055147,0.21904350914985346,0.21824440188968502,0.2176020392819598,0.2169596766742346,0.2163261976058171,0.2157131466726433,0.2151000957394695,0.21448704480629574,0.21400706785396592,0.21353175979636937,0.2130564517387728,0.21255714198214096,0.21202725975908351,0.21149737753602607,0.2109674953129686,0.2105859309178241,0.2102462086009608,0.20990648628409747,0.20956676396723417,0.20924799610757872,0.2089295168878968,0.20861103766821484,0.2083091214062652,0.20812620844445723,0.20794329548264923,0.29990442323517347,0.20776038252084125,0.2075757900469226,0.20738583973530314,0.20719588942368367,0.20700593911206422,0.20686820993858052,0.20681534735886956,0.2067624847791586,0.20670962219944763,0.2065604941416006,0.29248728905238597,0.20635285381825924,0.20614521349491788,0.20593757317157652,0.2059000877430949,0.2058722836735531,0.20584447960401128,0.20584760177423522,0.20588494734797017,0.20592229292170514,0.20593490204101592,0.28522347524047176,0.20586050916997792,0.20578611629893992,0.20574401618948548,0.20586922756063675,0.20599443893178798,0.20630120766513385,0.20687255604169366,0.20744112396168712,0.2078604583894516,0.2082797928172161,0.27934623480873777,0.2085919042074504,0.20888473328069,0.21000559545016043,0.21149576938863618,0.21355235448670382,0.21554521451143913,0.27392580989755505,74.06,0.006326153408135748,2017-06-16
2017-01-06,CT  N7,0.4410958904109589,CT  N7.N7,3,CT,P,0.21024035907084265,0.20980376185854333,0.20935963006456748,0.20881970340121644,0.20825687575321847,0.20796612446517965,0.20791566039401613,0.2078651963228526,0.20779230594085188,0.20771639316488785,0.20764048038892383,0.2077127970228122,0.2077864840458334,0.20786017106885457,0.20783464126370305,0.2077885075562104,0.20774237384871774,0.2078032168623576,0.2079737511397717,0.20814428541718585,0.20831481969459997,0.20848602099739347,0.20865727241553753,0.20882852383368158,0.20899861344133308,0.2091650235008221,0.20933143356031114,0.2094978436198002,0.20966247912982738,0.20982506910333462,0.20998765907684183,0.21015024905034907,0.21040115771625909,0.21070104313467122,0.21100092855308333,0.21130081397149547,0.21161341309371623,0.21192886923954435,0.21224432538537247,0.21256680342657525,0.21306188852644564,0.213556973626316,0.2140520587261864,0.21452168500070748,0.2149477289140226,0.21537377282733777,0.2157998167406529,0.21631934349317178,0.21686036648922727,0.2174013894852828,0.21688308369501422,0.21801785132483242,0.21873739869198378,0.2194569460591351,0.2201468270664612,0.22074148166188623,0.2213361362573113,0.22199464275696826,0.22291409826349395,0.22383355377001968,0.22474319156844672,0.2144160022587768,0.22563895867330905,0.22653472577817138,0.22767947481338874,0.2288845523856857,0.2300028106280361,0.2310114111381436,0.23213150183739245,0.2337012459953397,0.23525186589357197,0.23673768188459898,0.21305694487064156,0.2384090866879267,0.24037870756671817,0.24240953235839144,0.24470522403083297,0.24774044648025556,0.25028026557908045,0.25312199803319546,0.25649790806781386,0.2597776263398703,0.26351900171523684,0.2114142273612016,0.2688596319341218,0.27370727682008367,0.28018655317968194,0.28723857284390153,0.29725405860359344,0.30726954436328535,0.21062970963323885,74.53,-0.008759573562563268,2017-06-16
2017-01-06,CT  N7,0.4410958904109589,CT  N7.N7,3,CT,C,0.2688596319341217,0.26351900171523673,0.2597776263398702,0.25649790806781375,0.25312199803319535,0.2502802655790804,0.24774044648025548,0.2447052240308329,0.2424095323583914,0.24037870756671811,0.23840908668792668,0.23673768188459896,0.23525186589357194,0.23370124599533965,0.2321315018373924,0.23101141113814358,0.23000281062803607,0.22888455238568567,0.2276794748133887,0.22653472577817135,0.22563895867330902,0.22474319156844672,0.22383355377001965,0.22291409826349395,0.22199464275696823,0.2213361362573113,0.22074148166188623,0.22014682706646116,0.2194569460591351,0.21873739869198375,0.21801785132483242,0.21740138948528276,0.21686036648922727,0.21631934349317175,0.2157998167406529,0.21537377282733774,0.2149477289140226,0.21452168500070748,0.2140520587261864,0.213556973626316,0.21306188852644561,0.21256680342657522,0.21224432538537247,0.21192886923954435,0.21161341309371623,0.21130081397149547,0.21100092855308333,0.21070104313467122,0.21040115771625909,0.21015024905034907,0.3072695443632852,0.20998765907684183,0.20982506910333462,0.20966247912982738,0.2094978436198002,0.20933143356031114,0.2091650235008221,0.20899861344133308,0.20882852383368158,0.20865727241553753,0.20848602099739347,0.2972540586035933,0.20831481969459997,0.20814428541718583,0.2079737511397717,0.2078032168623576,0.20774237384871777,0.2077885075562104,0.20783464126370305,0.20786017106885457,0.2077864840458334,0.2077127970228122,0.2872385728439014,0.20764048038892383,0.20771639316488785,0.20779230594085188,0.2078651963228526,0.20791566039401613,0.20796612446517965,0.2082568757532185,0.20881970340121644,0.2093596300645675,0.20980376185854333,0.28018655317968183,0.21024035907084265,0.21062970963323888,0.21141422736120166,0.21305694487064158,0.21441600225877683,0.2168830836950143,0.2737072768200836,74.53,-0.008759573562563268,2017-06-16
2017-01-09,CT  N7,0.4328767123287671,CT  N7.N7,3,CT,C,0.265264872397221,0.26091602853744306,0.25661166132535035,0.2532241269303571,0.2500217708469394,0.247277924566025,0.24481116207612516,0.24255517892743858,0.24042379404884592,0.23834373043477255,0.23632125686379227,0.23458403027128186,0.23303761738088677,0.23169424025150054,0.23043435054157196,0.22927358115720767,0.2281766863332001,0.2271036464696762,0.2260845595889941,0.22506547270831198,0.22406207710513495,0.2230623193952422,0.22208619025642673,0.22126968989455195,0.22045318953267715,0.21969569687825072,0.21915930222389615,0.21862290756954159,0.2180813700284123,0.21740082505017772,0.2167202800719431,0.2160397350937085,0.21546697052092942,0.2149368559822907,0.214406741443652,0.21389454699911764,0.21345684642653173,0.21301914585394585,0.21258144528135994,0.2121701278395472,0.21178430647348012,0.21139848510741308,0.211012663741346,0.2107356074281272,0.2105051413152544,0.2102746752023816,0.21004420908950883,0.20970531902853495,0.20934085440252168,0.2089763897765084,0.3161379200301936,0.20861192515049515,0.2083519387626854,0.20810618215807516,0.20786042555346493,0.2076146689488547,0.20748829789415138,0.2073662842619307,0.20724427062971004,0.20712091879081654,0.20698883674695767,0.30119629223609634,0.2068567547030988,0.20672467265923994,0.20659288098539078,0.20646150082642623,0.2063301206674617,0.20619874050849718,0.20627013303492658,0.20637716910462867,0.20648420517433078,0.2065320015572217,0.28711260567516617,0.2065323537333884,0.2065327059095551,0.20648837688831528,0.20639164677584745,0.2062949166633796,0.20638212107966805,0.2065977152903427,0.20682670303665823,0.20723717280301882,0.20764764256937943,0.2778565676706634,0.20853131058157978,0.2094928580228981,0.21076104394524192,0.21181152709374093,0.2125438672236317,0.21428433724382212,0.27051167202786053,73.88,0.0028384150975264907,2017-06-16
2017-01-09,CT  N7,0.4328767123287671,CT  N7.N7,3,CT,P,0.20853131058157975,0.2076476425693794,0.20723717280301882,0.2068267030366582,0.20659771529034268,0.20638212107966802,0.2062949166633796,0.20639164677584745,0.20648837688831528,0.2065327059095551,0.2065323537333884,0.2065320015572217,0.20648420517433078,0.20637716910462867,0.20627013303492658,0.20619874050849718,0.2063301206674617,0.20646150082642623,0.20659288098539078,0.20672467265923994,0.2068567547030988,0.20698883674695767,0.20712091879081654,0.20724427062971004,0.2073662842619307,0.20748829789415138,0.2076146689488547,0.20786042555346493,0.20810618215807516,0.2083519387626854,0.20861192515049515,0.20897638977650843,0.20934085440252168,0.20970531902853495,0.21004420908950883,0.2102746752023816,0.2105051413152544,0.2107356074281272,0.21101266374134603,0.21139848510741308,0.21178430647348015,0.2121701278395472,0.21258144528135997,0.21301914585394585,0.21345684642653176,0.21389454699911764,0.214406741443652,0.21493685598229073,0.21546697052092945,0.21603973509370852,0.2142843372438221,0.21672028007194313,0.21740082505017772,0.21808137002841232,0.2186229075695416,0.21915930222389618,0.21969569687825075,0.22045318953267715,0.22126968989455195,0.22208619025642676,0.22306231939524224,0.21254386722363167,0.22406207710513498,0.225065472708312,0.22608455958899412,0.2271036464696762,0.22817668633320012,0.2292735811572077,0.23043435054157202,0.23169424025150057,0.2330376173808868,0.23458403027128186,0.2118115270937409,0.2363212568637923,0.23834373043477258,0.24042379404884598,0.24255517892743864,0.24481116207612522,0.24727792456602504,0.25002177084693944,0.25322412693035723,0.2566116613253504,0.2609160285374432,0.2107610439452419,0.2652648723972211,0.27051167202786075,0.27785656767066363,0.2871126056751664,0.3011962922360966,0.31613792003019386,0.20949285802289808,73.88,0.0028384150975264907,2017-06-16
